vkmt,vdpp,d_sat,d_sup,ex_effi,in_effi,trust,engage,SEX,AGE,weight,year,N_kmt,N_dpp,NPID,EDU_2.0,EDU_3.0,EDU_4.0,EDU_5.0,PartyID_1.0,PartyID_2.0,BLosser
6.0,8.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,0,1,0
0.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,0.0,4.0,0.940434890657512,2008,1,0,0,0,0,0,0,0,1,0
5.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.02263154820872,2008,0,1,0,0,0,0,1,1,0,0
8.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.25406927964383,2008,0,0,0,0,0,1,0,1,0,0
7.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,0.969738951033249,2008,0,0,0,0,1,0,0,1,0,0
5.0,5.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,0.874133682128386,2008,0,0,0,0,0,0,0,0,0,0
6.0,5.0,2.0,0.0,3.0,3.0,2.0,3.0,0.0,3.0,1.3364035864534,2008,0,0,0,1,0,0,0,0,0,0
7.0,6.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,1.16662707004207,2008,0,0,0,0,1,0,0,1,0,0
8.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.14924021487082,2008,0,1,0,0,0,0,1,1,0,0
5.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.02263154820872,2008,0,0,0,0,0,0,1,0,1,0
5.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,0.92251146834034,2008,0,0,0,0,1,0,0,1,0,0
8.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,0.969738951033249,2008,0,1,0,0,1,0,0,1,0,0
5.0,5.0,3.0,1.0,4.0,1.0,2.0,3.0,0.0,1.0,1.17619309907326,2008,0,0,0,0,0,0,1,0,0,0
4.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.14924021487082,2008,0,0,0,0,0,0,1,0,0,0
4.0,1.0,3.0,0.0,2.0,2.0,2.0,3.0,0.0,3.0,1.16662707004207,2008,0,1,0,0,1,0,0,0,0,0
7.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,1.08154643272138,2008,0,0,0,1,0,0,0,1,0,0
6.0,5.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,1.14924021487082,2008,0,0,0,0,0,0,1,0,0,0
10.0,5.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,1,0,0
9.0,1.0,4.0,0.0,3.0,2.0,2.0,3.0,0.0,2.0,1.25314941008995,2008,0,1,0,0,1,0,0,1,0,0
8.0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0,0.992482030604935,2008,0,0,0,0,1,0,0,1,0,0
6.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,1.16662707004207,2008,0,0,0,0,1,0,0,1,0,0
5.0,3.0,3.0,0.0,4.0,2.0,2.0,3.0,0.0,2.0,1.11591188022194,2008,0,0,0,0,0,1,0,1,0,0
7.0,4.0,3.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,1.14924021487082,2008,0,0,0,0,0,0,1,1,0,0
5.0,8.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,1.09034036164099,2008,0,0,0,0,0,1,0,0,1,0
5.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,0.969738951033249,2008,0,0,0,0,1,0,0,0,0,0
8.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0388649563782,2008,0,0,0,0,0,1,0,1,0,0
2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,1.16662707004207,2008,1,1,1,0,1,0,0,0,0,0
4.0,5.0,4.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,1.17619309907326,2008,0,0,0,0,0,0,1,0,1,0
6.0,5.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,1.01505899552595,2008,0,0,0,0,0,1,0,1,0,0
3.0,6.0,3.0,0.0,4.0,2.0,2.0,1.0,0.0,4.0,0.992482030604935,2008,0,0,0,0,1,0,0,0,1,0
6.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,1.17619309907326,2008,0,0,0,0,0,0,1,1,0,0
5.0,6.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,0.918884489853604,2008,0,0,0,0,0,0,0,0,1,0
6.0,6.0,3.0,0.0,2.0,2.0,3.0,1.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,0,0,0
6.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,1.16662707004207,2008,0,1,0,0,1,0,0,1,0,0
7.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,1.22443304458405,2008,0,0,0,0,1,0,0,1,0,0
7.0,7.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,1.16662707004207,2008,0,0,0,0,1,0,0,0,0,0
7.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,0.874133682128386,2008,0,0,0,0,0,0,0,0,0,0
3.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.999197581692218,2008,0,0,0,0,0,0,1,0,1,0
7.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,0.883791254212335,2008,0,1,0,0,0,1,0,1,0,0
10.0,10.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,0,0,0
6.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,4.0,0.969738951033249,2008,0,0,0,0,1,0,0,1,0,0
8.0,3.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,1,0,0
5.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,3.0,0.952025063582555,2008,0,1,0,0,0,0,1,0,0,0
7.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.09034036164099,2008,0,0,0,0,0,1,0,1,0,0
5.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.40829773914141,2008,0,0,0,0,1,0,0,0,0,0
6.0,0.0,3.0,1.0,3.0,3.0,1.0,4.0,0.0,2.0,1.02263154820872,2008,0,1,0,0,0,0,1,1,0,0
5.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,1.4413262438826,2008,0,0,0,0,1,0,0,0,0,0
10.0,3.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,5.0,0.894634551839512,2008,0,0,0,0,0,0,0,1,0,0
6.0,3.0,2.0,0.0,2.0,2.0,3.0,4.0,1.0,5.0,0.874133682128386,2008,0,0,0,0,0,0,0,1,0,0
